year_reported;international_cooperation;scientific_area_npi;scientific_field_npi;publication_points
2017;Ja;Humaniora;Tysk og nederlandsk;2,219238816
2017;Ja;Humaniora;Tverrfaglig humanistisk forskning;48,845583287
2017;Ja;Humaniora;Teologi og religionsvitenskap;172,116932422
2017;Ja;Humaniora;Slavisk-baltisk;17,407883415
2017;Ja;Humaniora;Romansk;4,090143681
2017;Ja;Humaniora;Nordisk;9,315738997
2017;Ja;Humaniora;Musikkvitenskap;23,519295736
2017;Ja;Humaniora;Medier og kommunikasjon;225,367660791
2017;Ja;Humaniora;Litteraturvitenskap;16,756277759
2017;Ja;Humaniora;Lingvistikk;269,369560894
2017;Ja;Humaniora;Kunsthistorie;23,143863615
2017;Ja;Humaniora;Kulturvitenskap;14,846124804
2017;Ja;Humaniora;Historie;34,898144558
2017;Ja;Humaniora;Gresk og latin;6,754998150
2017;Ja;Humaniora;Filosofi og idéhistorie;147,185070170
2017;Ja;Humaniora;Engelsk;39,839390275
2017;Ja;Humaniora;Dans;2,251666050
2017;Ja;Humaniora;Asiatiske og afrikanske studier;34,305685890
2017;Ja;Humaniora;Arkitektur og design;66,339571144
2017;Ja;Humaniora;Arkeologi og konservering;119,358472729
2017;Ja;Medisin og helsefag;Øyesykdommer;131,181484522
2017;Ja;Medisin og helsefag;Øre-nese-hals;43,390398788
2017;Ja;Medisin og helsefag;Veterinærmedisin;161,767621811
2017;Ja;Medisin og helsefag;Sykepleie;413,233677396
2017;Ja;Medisin og helsefag;Samfunnsmedisin;2454,582997212
2017;Ja;Medisin og helsefag;Revmatologi;695,356631609
2017;Ja;Medisin og helsefag;Radiologi og billeddiagnostikk;279,650356036
2017;Ja;Medisin og helsefag;Psykologi;1306,243189389
2017;Ja;Medisin og helsefag;Psykiatri;922,980285791
2017;Ja;Medisin og helsefag;Pediatri;336,749498238
2017;Ja;Medisin og helsefag;Onkologi;1392,592971779
2017;Ja;Medisin og helsefag;Odontologi;197,274857950
2017;Ja;Medisin og helsefag;Nevrologi;1154,218836057
2017;Ja;Medisin og helsefag;Nefrologi;97,724366127
2017;Ja;Medisin og helsefag;Kirurgiske fag;689,462962819
2017;Ja;Medisin og helsefag;Infeksjoner;256,361299741
2017;Ja;Medisin og helsefag;Idrettsforskning;588,217509473
2017;Ja;Medisin og helsefag;Hjerte, kar og luftveier;1472,297121114
2017;Ja;Medisin og helsefag;Hematologi;254,176020198
2017;Ja;Medisin og helsefag;Gynekologi og obstetrikk;497,862285427
2017;Ja;Medisin og helsefag;Geriatri;112,086943118
2017;Ja;Medisin og helsefag;Generell medisin;1197,902338883
2017;Ja;Medisin og helsefag;Gastroenterologi og hepatologi;479,720134376
2017;Ja;Medisin og helsefag;Farmasi, farmakologi og toksikologi;694,399958188
2017;Ja;Medisin og helsefag;Ernæring;293,496264012
2017;Ja;Medisin og helsefag;Endokrinologi;465,723191332
2017;Ja;Medisin og helsefag;Dermatologi og venerologi;94,409886604
2017;Ja;Medisin og helsefag;Biomedisin;2593,075174156
2017;Ja;Medisin og helsefag;Anestesi, intensiv, akutt;228,153377139
2017;Ja;Realfag og teknologi;Tverrfaglig teknologi;346,447651974
2017;Ja;Realfag og teknologi;Tverrfaglig naturvitenskap og medisin;2677,170794695
2017;Ja;Realfag og teknologi;Miljøteknologi og industriell økologi;607,204082707
2017;Ja;Realfag og teknologi;Materialteknologi;906,774300138
2017;Ja;Realfag og teknologi;Matematikk;1098,037638963
2017;Ja;Realfag og teknologi;Maskinteknikk;275,682394235
2017;Ja;Realfag og teknologi;Marin og maritim teknologi;302,552875513
2017;Ja;Realfag og teknologi;Kjemisk teknologi;242,316021957
2017;Ja;Realfag og teknologi;Kjemi;919,646983132
2017;Ja;Realfag og teknologi;Informatikk og datateknikk;1469,745331822
2017;Ja;Realfag og teknologi;Industriell økonomi;27,045967584
2017;Ja;Realfag og teknologi;Geofag;5012,810295403
2017;Ja;Realfag og teknologi;Generell teknologi;182,015852201
2017;Ja;Realfag og teknologi;Fysikk;3070,991495784
2017;Ja;Realfag og teknologi;Energi;899,298265244
2017;Ja;Realfag og teknologi;Elkraft og elektrotekniske fag;205,839629503
2017;Ja;Realfag og teknologi;Elektronikk og kybernetikk;690,177539006
2017;Ja;Realfag og teknologi;Bygg og konstruksjonsteknikk;438,153593709
2017;Ja;Realfag og teknologi;Bioteknologi;189,556422518
2017;Ja;Realfag og teknologi;Biologi;4407,647781364
2017;Ja;Realfag og teknologi;Anvendt geologi og petroleumsfag;240,373949550
2017;Ja;Samfunnsvitenskap;Økonomisk-administrative fag;1021,181340725
2017;Ja;Samfunnsvitenskap;Utviklingsstudier;187,095482294
2017;Ja;Samfunnsvitenskap;Tverrfaglig samfunnsforskning;435,123545752
2017;Ja;Samfunnsvitenskap;Statsvitenskap;563,839791434
2017;Ja;Samfunnsvitenskap;Sosiologi;151,245981289
2017;Ja;Samfunnsvitenskap;Sosialforskning;348,817187794
2017;Ja;Samfunnsvitenskap;Sosialantropologi;58,576169549
2017;Ja;Samfunnsvitenskap;Samfunnsøkonomi;695,634224858
2017;Ja;Samfunnsvitenskap;Rettsvitenskap;195,122740481
2017;Ja;Samfunnsvitenskap;Pedagogikk og utdanning;659,355576735
2017;Ja;Samfunnsvitenskap;Kjønnsforskning;47,963716474
2017;Ja;Samfunnsvitenskap;Geografi;342,636314943
2017;Ja;Samfunnsvitenskap;Biblioteks- og informasjonsvitenskap;155,025142803
2017;Nei;Humaniora;Tysk og nederlandsk;12,814213562
2017;Nei;Humaniora;Tverrfaglig humanistisk forskning;208,811509065
2017;Nei;Humaniora;Teologi og religionsvitenskap;518,957818950
2017;Nei;Humaniora;Teatervitenskap og drama;43,616112851
